"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"1","0610005C13Rik",10,8,9,3,7,23,12,2
"2","0610006L08Rik",1,0,5,4,2,11,9,4
"3","0610009B22Rik",207,198,167,205,138,111,160,128
"4","0610009E02Rik",9,5,5,7,7,4,2,5
"5","0610009L18Rik",54,105,43,72,51,43,42,44
"6","0610010F05Rik",189,183,261,222,228,208,219,152
"7","0610010K14Rik",18,35,41,44,14,24,27,13
"8","0610012D04Rik",0,0,7,0,3,1,2,5
"9","0610012G03Rik",748,822,511,861,616,445,552,490
"10","0610025J13Rik",7,12,14,2,23,8,6,3
"11","0610030E20Rik",13,20,11,27,22,9,20,24
"12","0610031O16Rik",11,12,8,5,3,15,3,1
"13","0610033M10Rik",0,0,0,1,1,7,8,0
"14","0610037L13Rik",449,445,381,515,335,384,429,302
"15","0610038B21Rik",21,14,14,15,23,21,28,9
"16","0610039K10Rik",0,4,0,10,5,0,6,0
"17","0610040B10Rik",9,22,6,16,23,9,16,10
"18","0610040F04Rik",9,13,13,6,8,12,9,0
"19","0610040J01Rik",93,104,99,106,91,66,94,84
"20","0610043K17Rik",4,2,13,9,11,7,6,5
"21","0710001A04Rik",1,0,6,0,5,2,1,0
"22","1010001B22Rik",11,4,7,6,2,11,5,3
"23","1010001N08Rik",63,80,68,77,65,45,71,49
"24","1100001I12Rik",0,0,0,0,0,0,0,0
"25","1110002E22Rik",743,747,680,652,488,777,652,436
"26","1110002J07Rik",0,0,5,3,2,13,7,0
"27","1110002L01Rik",44,25,45,30,46,22,51,29
"28","1110002O04Rik",3,2,0,2,0,0,6,1
"29","1110003F10Rik",11,7,7,5,3,4,7,6
"30","1110004F10Rik",468,564,441,570,441,358,565,371
"31","1110006O24Rik",1,7,2,2,7,4,4,7
"32","1110008E08Rik",0,0,4,3,3,0,1,2
"33","1110008L16Rik",88,57,66,136,99,88,79,37
"34","1110008P14Rik",154,123,108,117,124,61,114,81
"35","1110012L19Rik",76,78,50,83,60,77,78,45
"36","1110013H19Rik",0,7,5,0,8,5,12,12
"37","1110015O18Rik",14,3,22,9,24,14,9,2
"38","1110017D15Rik",0,5,7,0,6,7,1,0
"39","1110018N20Rik",38,29,25,49,31,35,24,10
"40","1110019B22Rik",0,1,0,2,1,5,3,0
"41","1110019D14Rik",46,45,29,44,50,59,28,26
"42","1110020A21Rik",9,6,9,11,8,2,9,5
"43","1110025L11Rik",0,0,0,4,6,1,5,0
"44","1110025M09Rik",5,3,1,6,3,2,4,1
"45","1110028F11Rik",0,0,0,0,0,0,3,0
"46","1110028F18Rik",5,3,4,0,9,1,4,2
"47","1110032A03Rik",90,101,65,116,103,114,130,100
"48","1110032F04Rik",6,8,11,7,11,15,12,6
"49","1110035H17Rik",4,0,3,0,0,4,1,4
"50","1110036E04Rik",0,0,4,0,2,3,2,0
"51","1110038B12Rik",22,13,15,9,33,27,18,8
"52","1110038F14Rik",133,104,97,130,79,56,118,89
"53","1110046J04Rik",30,24,9,17,22,39,16,11
"54","1110051M20Rik",268,210,240,305,224,202,203,167
"55","1110057P08Rik",0,3,6,0,2,8,0,0
"56","1110059E24Rik",160,147,138,123,158,149,140,84
"57","1110059G10Rik",85,76,65,73,76,53,58,42
"58","1110060G06Rik",1,7,1,0,5,3,0,0
"59","1110065P20Rik",78,95,49,110,101,47,56,68
"60","1190001M18Rik",6,0,1,1,5,2,11,0
"61","1190002N15Rik",825,764,681,878,637,595,621,455
"62","1190005I06Rik",8,6,5,42,10,8,5,16
"63","1190007I07Rik",114,143,91,125,87,109,114,77
"64","1190028D05Rik",2,5,8,2,6,6,0,0
"65","1200007C13Rik",20,15,1,8,4,2,1,4
"66","1300002E11Rik",53,71,74,95,111,73,93,45
"67","1300014J16Rik",16,16,5,17,9,14,11,1
"68","1300017J02Rik",10,4,10,12,29,41,7,7
"69","1500002C15Rik",20,8,11,7,25,18,12,21
"70","1500002F19Rik",22,9,6,10,17,20,12,6
"71","1500004A13Rik",41,45,19,27,63,50,40,27
"72","1500005C15Rik",3,0,2,7,17,14,4,5
"73","1500009C09Rik",0,11,0,2,0,6,5,0
"74","1500009L16Rik",46,62,51,45,71,41,47,35
"75","1500011B03Rik",25,21,18,43,32,14,28,30
"76","1500011K16Rik",124,140,79,132,132,53,115,106
"77","1500012K07Rik",5,5,9,6,15,13,20,2
"78","1500015A07Rik",26,12,32,28,25,7,27,16
"79","1500015L24Rik",4,0,5,0,10,3,0,0
"80","1500015O10Rik",23,13,17,34,30,27,17,19
"81","1500026H17Rik",4,2,16,4,21,21,15,12
"82","1500035N22Rik",6,2,4,10,8,11,11,4
"83","1520401A03Rik",3,3,4,2,15,21,6,1
"84","1600002K03Rik",12,23,13,47,8,10,27,23
"85","1600010M07Rik",5,7,10,4,20,8,9,6
"86","1600012H06Rik",251,219,242,279,227,226,252,167
"87","1600012P17Rik",5,9,5,3,1,10,2,0
